"","X","Title","ReleaseDate","Popularity","Budget","Revenue","Genre","IMDBRating","IMDBVotes","Director","RottenTomatoesRating","Production"
"1",1,"The Last of Us","'NaT'",0.35,0,0,"Short, Drama, Horror","8.1/10","86","Paul DeNinno Braun",NA,"N/A"
"3",3,"Di hou wu gong dui","'01/01/1995'",0.003054,0,0,"War","5.6/10","5","Ning Kang, Xianhe Lei",NA,"N/A"
"4",4,"Hellraiser","18 Sep 1987",5e-06,0,0,"Horror, Thriller","7.0/10","82,262","Clive Barker","65%","New World Video"
"5",5,"A Daughter of the West","26 May 1918",0.001923,0,0,"Western",NA,"N/A","William Bertram",NA,"N/A"
"6",6,"The International","13 Feb 2009",2.402189,50000000,60161391,"Action, Crime, Drama","6.5/10","82,837","Tom Tykwer","59%","Sony Pictures/Columbia"
"7",7,"M'Al Hahuravot","'02/01/1938'",0.001882,0,0,"Drama",NA,"N/A","Nathan Axelrod, Alfred Wolf",NA,"N/A"
"8",8,"Los nadie","02 Mar 2016",0.089906,0,0,"N/A","7.6/10","23","Juan Sebastian Mesa",NA,"N/A"
"9",9,"Shirli-Myrli","'06/06/1995'",0.309284,1200000,0,"Comedy","7.1/10","1,200","Vladimir Menshov",NA,"N/A"
"10",10,"Molly's Pilgrim","'01/01/1985'",5e-06,0,0,"Short","8.3/10","39","Jeffrey D. Brown",NA,"N/A"
"11",11,"How People Got Fire","12 Feb 2009",0.0075,0,0,"Animation, Short","6.0/10","32","Daniel Janke",NA,"N/A"
"12",12,"Trianon","'04/06/2005'",0.00375,0,0,"Documentary","4.6/10","317","Gábor Koltay",NA,"N/A"
"13",13,"Vlad Tepes","08 Jan 1979",0.000297,0,0,"Drama, History","7.9/10","678","Doru Nastase",NA,"N/A"
"14",14,"Aamdani Atthanni Kharcha Rupaiya","21 Dec 2001",0.174505,0,0,"Comedy, Drama","4.5/10","738","K. Raghavendra Rao, A.S. Ravindra Babu",NA,"N/A"
"15",15,"Roaring Roads","13 Apr 1935",0.144864,0,0,"Action, Crime, Romance","5.1/10","27","Ray Nazarro, Charles E. Roberts",NA,"N/A"
"16",16,"Lover's Discourse","06 Jan 2011",0.018613,0,0,"Romance","5.8/10","105","Kwok Cheung Tsang, Chi-Man Wan",NA,"N/A"
"17",17,"Kater","'13/02/2016'",0.119644,0,0,"Animation, Short",NA,"N/A","Tine Kluth",NA,"N/A"
"18",18,"Subtotal","'22/06/2014'",0.091806,0,0,"Short, Comedy, Drama","5.4/10","8","Gunhild Enger",NA,"N/A"
"19",19,"Fire!","30 Jun 1989",0.017857,0,0,"Biography, Drama, Music","6.2/10","13,340","Jim McBride","63%","Orion Pictures Corporation"
"20",20,"Amapola Del Camino","17 Sep 1937",0.003531,0,0,"Musical, Drama","6.5/10","8","Juan Bustillo Oro, Antonio Guzmán Aguilera",NA,"N/A"
"21",21,"It Had to Be You","11 Feb 2000",0.001969,0,0,"Comedy, Romance","5.7/10","1,587","Steven Feder",NA,"LionsGate Entertainment"
"24",24,"Canine Patrol","07 Dec 1945",0.001931,0,0,"Family, Comedy, Animation","6.5/10","158","Charles A. Nichols",NA,"N/A"
"25",25,"Auge/Maschine III","'01/01/2003'",0.029065,0,0,"Documentary, Short","6.2/10","6","Harun Farocki",NA,"N/A"
"26",26,"The Trouble with Bliss","23 Mar 2012",1.188783,0,0,"Comedy, Drama","5.4/10","2,149","Michael Knowles","29%","7A Productions/Variance Films"
"28",28,"Ayalvasi Oru Daridravasi","'07/11/1986'",0,0,0,"Comedy","7.7/10","34","Priyadarshan",NA,"N/A"
"29",29,"A Muddy Romance","20 Nov 1913",0.003108,0,0,"Comedy, Short","4.8/10","95","Mack Sennett",NA,"N/A"
