"","Title","ReleaseDate","Popularity","Budget","Revenue","Genre","IMDBRating","IMDBVotes","Director","RottenTomatoesRating"
"1","The Last of Us","'NaT'",0.35,0,0,"Short, Drama, Horror","8.1/10","86","Paul DeNinno Braun",NA
"2","Cesta z mÄ›sta","'05/10/2000'",0.019242,0,0,NA,NA,NA,NA,NA
"3","Di hou wu gong dui","'01/01/1995'",0.003054,0,0,"War","5.6/10","5","Ning Kang, Xianhe Lei",NA
"4","Hellraiser","18 Sep 1987",5e-06,0,0,"Horror, Thriller","7.0/10","82,262","Clive Barker","65%"
"5","A Daughter of the West","26 May 1918",0.001923,0,0,"Western",NA,"N/A","William Bertram",NA
"6","The International","13 Feb 2009",2.402189,50000000,60161391,"Action, Crime, Drama","6.5/10","82,837","Tom Tykwer","59%"
"7","M'Al Hahuravot","'02/01/1938'",0.001882,0,0,"Drama",NA,"N/A","Nathan Axelrod, Alfred Wolf",NA
"8","Los nadie","02 Mar 2016",0.089906,0,0,"N/A","7.6/10","23","Juan Sebastian Mesa",NA
"9","Shirli-Myrli","'06/06/1995'",0.309284,1200000,0,"Comedy","7.1/10","1,200","Vladimir Menshov",NA
"10","Molly's Pilgrim","'01/01/1985'",5e-06,0,0,"Short","8.3/10","39","Jeffrey D. Brown",NA
"11","How People Got Fire","12 Feb 2009",0.0075,0,0,"Animation, Short","6.0/10","32","Daniel Janke",NA
"12","Trianon","'04/06/2005'",0.00375,0,0,"Documentary","4.6/10","317","G·bor Koltay",NA
"13","Vlad Tepes","08 Jan 1979",0.000297,0,0,"Drama, History","7.9/10","678","Doru Nastase",NA
"14","Aamdani Atthanni Kharcha Rupaiya","21 Dec 2001",0.174505,0,0,"Comedy, Drama","4.5/10","738","K. Raghavendra Rao, A.S. Ravindra Babu",NA
"15","Roaring Roads","13 Apr 1935",0.144864,0,0,"Action, Crime, Romance","5.1/10","27","Ray Nazarro, Charles E. Roberts",NA
"16","Lover's Discourse","06 Jan 2011",0.018613,0,0,"Romance","5.8/10","105","Kwok Cheung Tsang, Chi-Man Wan",NA
"17","Kater","'13/02/2016'",0.119644,0,0,"Animation, Short",NA,"N/A","Tine Kluth",NA
"18","Subtotal","'22/06/2014'",0.091806,0,0,"Short, Comedy, Drama","5.4/10","8","Gunhild Enger",NA
"19","Fire!","30 Jun 1989",0.017857,0,0,"Biography, Drama, Music","6.2/10","13,340","Jim McBride","63%"
"20","Amapola Del Camino","17 Sep 1937",0.003531,0,0,"Musical, Drama","6.5/10","8","Juan Bustillo Oro, Antonio Guzm·n Aguilera",NA
"21","It Had to Be You","11 Feb 2000",0.001969,0,0,"Comedy, Romance","5.7/10","1,587","Steven Feder",NA
"22","Biffy Clyro : Opposites","'NaT'",0.000216,0,0,NA,NA,NA,NA,NA
"23","2005 - Renee Fleming & Claire Bloom","'02/12/2005'",0.005625,0,0,NA,NA,NA,NA,NA
"24","Canine Patrol","07 Dec 1945",0.001931,0,0,"Family, Comedy, Animation","6.5/10","158","Charles A. Nichols",NA
"25","Auge/Maschine III","'01/01/2003'",0.029065,0,0,"Documentary, Short","6.2/10","6","Harun Farocki",NA
"26","The Trouble with Bliss","23 Mar 2012",1.188783,0,0,"Comedy, Drama","5.4/10","2,149","Michael Knowles","29%"
"27","R.L. Stine's The Haunting Hour: Scary Mary","'NaT'",0.00162,0,0,NA,NA,NA,NA,NA
"28","Ayalvasi Oru Daridravasi","'07/11/1986'",0,0,0,"Comedy","7.7/10","34","Priyadarshan",NA
"29","A Muddy Romance","20 Nov 1913",0.003108,0,0,"Comedy, Short","4.8/10","95","Mack Sennett",NA
"30","Anijam","31 May 2013",0.006925,0,0,"Animation, Short","6.9/10","46","Marv Newland",NA
"31","Black Star and the Golden Bat","'12/05/1979'",0.002963,0,0,"Animation","2.8/10","13","Heon-myeong Han",NA
"32","Roberta","08 Mar 1935",0.028693,0,0,"Comedy, Musical, Romance","7.1/10","2,319","William A. Seiter","83%"
"33","Tu Hai Mera Sunday","16 May 2016",0.237591,0,0,"Comedy, Drama","8.2/10","112","Milind Dhaimade",NA
"34","Sharon and the Birds on the Way to the Wedding","'01/01/1987'",0,0,0,NA,NA,NA,NA,NA
"35","Alive in the Deep","07 May 1941",0.014781,0,0,"Documentary, Short",NA,"N/A","N/A",NA
"36","I and i","'01/01/2014'",0.024875,0,0,"Short",NA,"N/A","Alexandru Gherman",NA
"37","The Mechanics of Love","13 Mar 2017",0.005057,0,0,"Drama","6.0/10","113","David Weaver",NA
"38","Majesty","28 Oct 2010",0.007506,0,0,"Drama","6.5/10","263","Peter de Baan",NA
"39","Free Lisl: Fear & Loathing in Denver","18 Nov 2006",0.006221,0,0,"N/A","8.8/10","11","Wayne Ewing",NA
"40","Los Tentados","01 Apr 2013",0.016877,0,0,"N/A","5.4/10","17","Mariano Blanco",NA
"41","Wenn die Sonne wieder scheint","'01/01/1943'",0.00459,0,0,"N/A","6.8/10","16","Boleslaw Barlog",NA
"42","A Stranger in Town","01 Apr 1943",0.002,0,0,"Drama, Romance","7.2/10","352","Roy Rowland",NA
"43","Sucker Punch","25 Mar 2011",0.013417,0,0,"Action, Fantasy","6.1/10","207,049","Zack Snyder","23%"
"44","Simon Amstell: Do Nothing: Live","'22/11/2010'",0.103248,0,0,NA,NA,NA,NA,NA
"45","Hollywood Ghosts & Gravesites","27 May 2003",0.003936,0,0,"Documentary","6.4/10","15","Fred Calvert, Lynn Stevenson",NA
"46","Mama","18 Jan 2013",0,0,0,"Horror, Thriller","6.2/10","144,704","Andy Muschietti","65%"
"47","Jacktown","01 Jul 1962",0.002116,0,0,"Drama","5.2/10","49","William Martin",NA
"48","Le czar en France - dÃ©filÃ© des troupes","'NaT'",0.002064,0,0,NA,NA,NA,NA,NA
